time,alert_status,blocker_violations,bugs,class_complexity,classes,code_smells,comment_lines,comment_lines_density,commit.id,complexity,complexity_in_classes,complexity_in_functions,confirmed_issues,coverage,critical_violations,development_cost,directories,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,effort_to_reach_maintainability_rating_a,false_positive_issues,file_complexity,file_complexity_distribution,files,function_complexity,function_complexity_distribution,functions,info_violations,last_commit_date,line_coverage,lines,lines_to_cover,major_violations,minor_violations,ncloc,ncloc_language_distribution,open_issues,quality_gate_details,quality_profiles,reliability_rating,reliability_remediation_effort,reopened_issues,security_rating,security_remediation_effort,skipped_tests,sqale_debt_ratio,sqale_index,sqale_rating,statements,test_errors,test_execution_time,test_failures,test_success_density,tests,uncovered_lines,url,violations,vulnerabilities,wont_fix_issues
2015-02-12T00:38:46Z,0,20,664,15.9,304,1823,11569,29.5,0f457fb7b260cbb40d1f7810dc610d88c3bac904,4847,4847,4806,0,0,387,0,14,144,35,1905,3.2,0,0,20.1,0,241,1.8,0,2685,196,1.42355E+12,0,59708,17765,1063,922,27593,0,2588,0,0,5,7934,0,5,2325,,1.9,16117,1,14111,,,,,,17765,https://bitbucket.org/atlassian/apache-httpclient-3.x.git,2588,101,0
2010-11-27T13:31:49Z,0,56,1063,15.4,800,2737,5846,8.6,c79cb6f1a7bbdbba11dd130f54bb6b69a90c4777,12285,12285,12167,0,0,778,0,120,254,82,4398,4.6,0,0,18.1,0,678,1.6,0,7798,53,1.29086E+12,0,96452,35736,1675,1343,61760,0,3905,0,0,5,12885,0,5,2605,,1.3,23889,1,26945,,,,,,35736,https://github.com/apache/abdera.git,3905,105,0
2011-03-28T18:12:57Z,0,137,4864,12.9,3225,13049,36108,12.3,063285ca8e142480b435c2c294f5163d1afddd5a,47071,41500,45120,0,0,2613,0,256,3004,1165,77513,17.9,0,0,16.2,0,2903,1.7,,27172,226,1.30133E+12,0,432902,144936,8699,7213,256494,0,18888,0,0,5,60954,0,5,13250,,1.5,116667,1,129660,,,,,,144936,https://github.com/apache/activemq.git,18888,975,0
2011-06-29T21:23:06Z,0,11,598,10.9,834,2936,13910,21.8,71d552e5f5f8c7aa06430143e1580c3a2094281f,9122,9122,8885,0,0,248,0,49,1237,524,51886,47.9,0,0,11.5,0,792,1.4,0,6394,32,1.30938E+12,0,108324,29262,1595,1691,49768,0,3577,0,0,5,6941,0,2,485,,1.9,28331,1,24839,,,,,,29262,https://github.com/apache/activemq-apollo.git,3577,43,0
2016-09-06T16:17:08Z,0,148,8406,13.4,4449,16951,36901,7.8,b305e231ec634a6ee877af7aec45a6d06d78e994,59476,59476,56441,0,0,5108,0,586,7020,1300,94998,14,0,0,16.4,0,3636,1.6,0,35972,246,1.47317E+12,0,677648,261772,14526,7267,436502,0,27295,0,0,5,115468,0,5,28340,,1.8,229721,1,223939,,,,,,261772,https://github.com/apache/activemq-artemis.git,27295,1938,0
2009-09-17T10:04:26Z,0,3,106,30.7,45,489,915,11.3,959b0ceab9c4e0fbdbe0a3e281af7339f3f64c20,1381,1381,1374,0,0,123,0,4,160,7,3279,32.3,0,0,34.5,0,40,2.4,0,574,14,1.23809E+12,0,10146,5288,266,197,7188,0,603,0,0,5,1194,0,2,115,,2.4,5080,1,4819,,,,,,5288,https://github.com/apache/activemq-protobuf.git,603,8,0
2014-12-29T17:32:22Z,0,159,2731,16.8,3745,14642,45619,13.7,1817176a4d8114e4295b1cf3c55b18141c68d75d,62897,62897,61532,0,0,1994,0,363,5309,496,103723,23.8,0,0,38.7,0,1625,2.3,0,27321,348,1.41987E+12,0,435207,172940,9506,5836,287360,0,17843,0,0,5,32899,0,5,6555,,1.7,149153,1,146316,,,,,,172940,https://github.com/apache/airavata.git,17843,470,0
2015-04-02T21:48:55Z,0,81,5006,12.3,2685,15695,31461,11.2,b5c6ea2e7fb64bca8bdf6c7ab63158dec09a1036,33126,33126,32338,0,0,3920,0,292,2822,474,38745,9.6,0,0,15.5,0,2137,1.8,0,18327,353,1.42714E+12,0,402775,154241,6199,10702,250624,0,21255,0,0,5,65355,0,5,10125,,1.9,143368,1,124195,,,,,,154241,https://github.com/apache/ambari.git,21255,554,0
2008-09-26T07:20:47Z,0,32,627,16.1,572,2359,6423,10.8,f2a541427336081fa0988ef65906b54c01d48da2,9225,9225,9041,0,0,892,0,103,616,54,5383,6.6,0,0,19.2,0,481,1.7,0,5404,34,1.22147E+12,0,81854,33850,1218,899,53117,0,3075,0,0,5,7324,0,5,1280,,2.1,32724,1,25643,,,,,,33850,https://github.com/apache/ant-ivy.git,3075,89,0
2015-07-29T06:35:47Z,0,37,920,10.5,858,3379,4905,7.9,1f1df89e8d4ccbe98266575d4523d70876786c30,9020,9020,8523,0,0,1086,0,64,363,63,4726,5.8,0,0,23.9,0,377,2.3,0,3727,38,1.43815E+12,0,80878,31908,1537,1958,57116,0,4656,0,0,5,13176,0,2,4085,,1.8,31329,1,27640,,,,,,31908,https://github.com/apache/apex-core.git,4656,357,0
